row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
1322,line,1378,加賀沢変電所~大内三川変電所線,1387,1386,66.0,68.59,0.000333,1
1323,line,1379,岩谷線,549,1393,66.0,137.18,0.000569,0
1324,line,1380,東北送電線_183,549,573,66.0,68.59,0.000467,1
1325,line,1381,羽川線,1393,1392,66.0,68.59,0.000615,1
1326,line,1382,東北電力ネットワーク 33.0kV線,550,551,66.0,68.59,0.000432,1
1327,line,1383,協和線,552,1379,66.0,137.18,7.2e-05,0
1328,line,1384,南河辺変電所~秋田市変電所線,552,1401,66.0,68.59,0.001101,1
1329,line,1385,川尻変電所~仙人変電所線,1399,1398,66.0,68.59,0.000488,1
1330,line,1386,磐井川線,1504,1400,66.0,68.59,0.001231,1
1331,line,1387,花泉線,1504,634,66.0,137.18,0.000209,1
1332,line,1388,東山線,1504,601,66.0,137.18,0.000174,0
1333,line,1389,日高線,1504,655,66.0,137.18,0.000103,0
1334,line,1390,東北電力ネットワーク 66.0kV線,1405,556,66.0,68.59,0.000103,1
1335,line,1391,滝の原支線,556,1406,66.0,68.59,0.000357,1
1336,line,1392,滝の原支線,556,1404,66.0,68.59,0.000261,1
1337,line,1393,上の岱線,557,1406,66.0,68.59,0.000478,1
1338,line,1394,東北送電線_164,1416,558,66.0,68.59,4.4e-05,1
1339,line,1395,東北送電線_187,558,576,66.0,68.59,0.000266,1
1340,line,1396,御野場新町一丁目変電所~牛島西三丁目変電所線,558,574,66.0,68.59,4.4e-05,1
1341,line,1398,東北電力ネットワーク 66.0kV線,561,1420,66.0,137.18,9e-05,1
1342,line,1399,東北電力ネットワーク 66.0kV線,563,1429,66.0,137.18,0.000125,1
1343,line,1400,宮城変電所~大崎市変電所線,563,1428,66.0,137.18,0.000431,0
1344,line,1401,東北電力ネットワーク 66.0kV線,1428,572,66.0,137.18,0.000106,0
1345,line,1402,東北電力ネットワーク 66.0kV線,1430,564,66.0,137.18,2.6e-05,0
1346,line,1403,まいの一丁目変電所~大和町変電所線,564,565,66.0,68.59,0.000603,0
1347,line,1404,大和町変電所~まいの一丁目変電所線,564,1431,66.0,137.18,0.000193,0
1348,line,1405,東北電力ネットワーク 66.0kV線,1431,566,66.0,137.18,7e-06,1
1349,line,1406,東北電力ネットワーク 66.0kV線,1431,567,66.0,68.59,0.00029,1
1350,line,1407,三本木桑折変電所~大和町変電所線,1431,568,66.0,137.18,0.000213,0
1351,line,1408,三本木桑折変電所~大和町変電所線,565,568,66.0,137.18,0.000191,0
1352,line,1409,大和町変電所~古川諏訪三丁目変電所線,565,569,66.0,68.59,0.000834,0
1353,line,1410,古川諏訪三丁目変電所~古川中里三丁目変電所線,1432,569,66.0,137.18,8.8e-05,0
1354,line,1411,leadin,1414,1412,66.0,68.59,0.000149,1
1355,line,1412,leadin,1414,1413,66.0,68.59,1.5e-05,1
1356,line,1413,川尻若葉町変電所~茨島二丁目変電所線,1414,1436,66.0,68.59,9.7e-05,1
1357,line,1414,茨島二丁目変電所~牛島変電所線,1436,1325,66.0,137.18,2.1e-05,1
1358,line,1415,牛島変電所~牛島西三丁目変電所線,1325,1326,154.0,114.32,2e-05,0
1359,line,1416,御野場新町一丁目変電所~牛島西三丁目変電所線,1326,574,154.0,266.74,7e-06,1
1360,line,1417,東北電力ネットワーク 66.0kV線,570,571,66.0,68.59,0.000291,1
1361,line,1418,東北電力ネットワーク 66.0kV線,571,1437,66.0,68.59,0.000352,1
1362,line,1419,東北電力ネットワーク 66.0kV線,571,1441,66.0,68.59,0.000543,1
1363,line,1420,東北電力ネットワーク 66.0kV線,1437,572,66.0,137.18,0.000419,1
1364,line,1421,東北電力ネットワーク 66.0kV線,572,579,66.0,137.18,7e-05,0
1365,line,1422,牛島西三丁目変電所~茨島二丁目変電所線,574,575,66.0,68.59,0.000156,1
1366,line,1423,東北電力ネットワーク 66.0kV線,577,578,66.0,68.59,3e-06,1
1367,line,1424,岩ケ崎変電所前~大崎市変電所線,578,579,66.0,68.59,0.00068,0
1368,line,1425,東北電力ネットワーク 33.0kV線,1439,1440,66.0,68.59,0.000398,1
1369,line,1426,栗原市変電所~大崎市変電所線,1440,579,66.0,68.59,0.000441,1
1370,line,1427,富山線(4C1A),581,582,66.0,137.18,3e-05,0
1371,line,1428,小野支線(4C1D),581,1517,66.0,68.59,0.000147,1
1372,line,1429,富山線(4C1A),581,663,66.0,137.18,0.00032,0
1373,line,1430,leadin,582,1493,66.0,68.59,7.3e-05,1
1374,line,1431,富山線(4C1A),582,583,66.0,137.18,0.00032,0
1375,line,1432,富山線(4C1A),583,1492,66.0,137.18,2.7e-05,0
1376,line,1433,4C1E線,583,1501,66.0,68.59,9.2e-05,1
1377,line,1434,湖東支線,1690,585,66.0,137.18,2e-05,0
1378,line,1435,山本線,1690,744,66.0,68.59,0.0009,0
1379,line,1436,能代線,585,688,66.0,137.18,0.001215,0
1380,line,1438,leadin,1452,586,66.0,137.18,3.4e-05,1
