col,pp_bus,built_node_id,kv,lat,lon
4869,5411,tokyo_sub_1269,66.0,36.26228,139.4023
4870,5412,tokyo_sub_1270,66.0,36.39188,139.34428
4871,5413,tokyo_sub_1271,66.0,36.38884,139.34566
4872,5414,tokyo_sub_1272,66.0,36.38924,139.32053
4873,5415,tokyo_sub_1273,66.0,36.40491,139.30136
4874,5416,tokyo_sub_1274,66.0,36.42268,139.27704
4875,5417,tokyo_sub_1275,66.0,36.29586,139.25256
4876,5418,tokyo_sub_1276,66.0,36.39275,139.19379
4877,5419,tokyo_sub_1277,66.0,36.46709,139.1875
4878,5420,tokyo_sub_1278,66.0,36.39049,139.06748
4879,5421,tokyo_sub_1279,66.0,36.394,139.07654
4880,5422,tokyo_sub_1280,154.0,36.45198,139.00409
4881,5423,tokyo_sub_1281@154,154.0,36.53823,139.05913
4882,5424,tokyo_sub_1281@66,66.0,36.53823,139.05913
4883,5425,tokyo_sub_1282,66.0,36.65775,139.09059
4884,5426,tokyo_sub_1283,66.0,36.65056,139.03043
4885,5427,tokyo_sub_1284,154.0,36.72853,139.22343
4886,5428,tokyo_sub_1285,66.0,36.31574,139.19582
4887,5429,tokyo_sub_1286,66.0,36.3305,139.20981
4888,5430,tokyo_sub_1287@154,154.0,36.32048,139.39776
4889,5431,tokyo_sub_1287@66,66.0,36.32048,139.39776
4890,5432,tokyo_sub_1288,66.0,36.37897,138.89586
4891,5433,tokyo_sub_1289,66.0,36.41946,138.80122
4892,5434,tokyo_sub_1290,66.0,36.58459,138.84378
4893,5435,tokyo_sub_1291,66.0,36.53406,138.5572
4894,5436,tokyo_sub_1292,66.0,36.52369,138.54132
4895,5437,tokyo_sub_1293,66.0,36.31464,139.01683
4896,5438,tokyo_sub_1294,66.0,36.25763,138.93041
4897,5442,tokyo_sub_1299,66.0,35.9563,138.90593
4898,5443,tokyo_sub_1300,66.0,35.95247,138.92925
4899,5444,tokyo_sub_1301,66.0,35.95997,139.05398
4900,5445,tokyo_sub_1302,66.0,36.11628,139.1688
4901,5446,tokyo_sub_1303,66.0,36.0636,139.24997
4902,5447,tokyo_sub_1304,66.0,36.10076,139.19664
4903,5448,tokyo_sub_1305,66.0,36.11352,139.20796
4904,5449,tokyo_sub_1306,66.0,36.03973,139.06816
4905,5450,tokyo_sub_1307,66.0,35.97423,139.11053
4906,5451,tokyo_sub_1308,66.0,36.00088,139.0872
4907,5452,tokyo_sub_1309,66.0,36.03081,139.56654
4908,5453,tokyo_sub_1310,66.0,35.98026,139.56485
4909,5454,tokyo_sub_1311,66.0,35.96457,139.58468
4910,5455,tokyo_sub_1312,66.0,35.95064,139.56706
4911,5456,tokyo_sub_1313,66.0,35.91496,139.57124
4912,5457,tokyo_sub_1314,66.0,35.90471,139.51689
4913,5458,tokyo_sub_1315,66.0,35.93826,139.48043
4914,5459,tokyo_sub_1316,66.0,35.92012,139.64022
4915,5460,tokyo_sub_1317,66.0,35.92279,139.64998
4916,5461,tokyo_sub_1318@275,275.0,35.91466,139.38627
4917,5462,tokyo_sub_1318@66,66.0,35.91466,139.38627
4918,5463,tokyo_sub_1320,66.0,36.72793,139.54554
4919,5464,tokyo_sub_1321,66.0,36.74939,139.59362
4920,5465,tokyo_sub_1322,66.0,36.33546,139.46118
4921,5466,tokyo_sub_1323,66.0,36.42874,139.28005
4922,5469,tokyo_sub_1326@275,275.0,35.92727,139.45984
4923,5470,tokyo_sub_1326@154,154.0,35.92727,139.45984
4924,5471,tokyo_sub_1326@66,66.0,35.92727,139.45984
4925,5472,tokyo_sub_1327@500,500.0,36.16765,139.34411
4926,5473,tokyo_sub_1327@66,66.0,36.16765,139.34411
4927,5474,tokyo_sub_1328,66.0,36.10733,139.44411
4928,5475,tokyo_sub_1329,275.0,36.92354,138.81998
4929,5476,tokyo_sub_1330,154.0,36.28988,139.17644
4930,5477,tokyo_sub_1331,66.0,35.97452,139.60682
4931,5478,tokyo_sub_1332,66.0,35.90372,139.48737
4932,5479,tokyo_sub_1333,66.0,35.9117,139.47892
4933,5481,tokyo_sub_1335,66.0,36.04637,139.38301
4934,5482,tokyo_sub_1336,66.0,36.03454,139.36726
4935,5483,tokyo_sub_1337,66.0,36.03763,139.39318
4936,5484,tokyo_sub_1338,66.0,36.04536,139.37596
4937,5485,tokyo_sub_1339@154,154.0,36.04434,139.3268
4938,5486,tokyo_sub_1339@66,66.0,36.04434,139.3268
4939,5488,tokyo_sub_1341,66.0,36.72793,139.54073
4940,5489,tokyo_sub_1342,66.0,36.72704,139.54139
4941,5490,tokyo_sub_1343@154,154.0,35.97246,139.4157
4942,5491,tokyo_sub_1343@66,66.0,35.97246,139.4157
4943,5492,tokyo_sub_1344,66.0,36.12647,139.43383
4944,5493,tokyo_sub_1345,154.0,35.9579,139.645
4945,5494,tokyo_sub_1346,66.0,36.30361,139.43734
4946,5495,tokyo_sub_1347,66.0,36.49616,139.02118
4947,5496,tokyo_sub_1348,66.0,36.00908,139.43346
4948,5497,tokyo_sub_1349,66.0,36.172,139.63973
4949,5498,tokyo_sub_1350,66.0,36.14827,139.64345
4950,5499,tokyo_sub_1351,66.0,36.39509,139.31938
4951,5501,tokyo_sub_1353,66.0,35.91621,139.56384
4952,5503,tokyo_sub_1355,66.0,36.56255,139.88526
4953,5504,tokyo_sub_1356@500,500.0,35.93157,139.91119
4954,5505,tokyo_sub_1356@275,275.0,35.93157,139.91119
4955,5506,tokyo_sub_1356@154,154.0,35.93157,139.91119
4956,5507,tokyo_sub_1356@66,66.0,35.93157,139.91119
4957,5508,tokyo_sub_1357@500,500.0,36.10661,139.83273
4958,5509,tokyo_sub_1357@275,275.0,36.10661,139.83273
4959,5510,tokyo_sub_1358,66.0,35.98507,139.95051
4960,5511,tokyo_sub_1359,66.0,36.47448,140.06508
4961,5512,tokyo_sub_1360,66.0,36.46678,140.0721
4962,5513,tokyo_sub_1361,66.0,36.53817,140.10031
4963,5514,tokyo_sub_1362,66.0,36.52417,140.06653
4964,5515,tokyo_sub_1363@154,154.0,36.61408,139.98036
4965,5516,tokyo_sub_1363@66,66.0,36.61408,139.98036
4966,5517,tokyo_sub_1364@154,154.0,36.54692,139.98187
4967,5518,tokyo_sub_1364@66,66.0,36.54692,139.98187
4968,5519,tokyo_sub_1365@154,154.0,36.51432,140.01013
4969,5520,tokyo_sub_1365@66,66.0,36.51432,140.01013
4970,5521,tokyo_sub_1366@500,500.0,36.65501,139.91753
4971,5522,tokyo_sub_1366@275,275.0,36.65501,139.91753
4972,5523,tokyo_sub_1366@154,154.0,36.65501,139.91753
4973,5524,tokyo_sub_1368@275,275.0,36.46319,140.51878
4974,5525,tokyo_sub_1368@154,154.0,36.46319,140.51878
4975,5526,tokyo_sub_1368@66,66.0,36.46319,140.51878
4976,5527,tokyo_sub_1369@275,275.0,36.47914,140.44505
4977,5528,tokyo_sub_1369@154,154.0,36.47914,140.44505
4978,5529,tokyo_sub_1370@154,154.0,36.40647,140.41072
4979,5530,tokyo_sub_1370@66,66.0,36.40647,140.41072
4980,5531,tokyo_sub_1371@154,154.0,36.21892,140.25384
4981,5532,tokyo_sub_1371@66,66.0,36.21892,140.25384
4982,5533,tokyo_sub_1373,66.0,36.45421,139.9379
4983,5534,tokyo_sub_1374,66.0,36.31032,140.5487
4984,5535,tokyo_sub_1375,66.0,36.3809,140.59368
4985,5536,tokyo_sub_1376@154,154.0,36.11948,140.16637
4986,5537,tokyo_sub_1376@66,66.0,36.11948,140.16637
